user_id,login_time,is_paid,current_level,login_duration,amount,payment_time,channel,device
16161,2025-04-03 17:38:53,1,42.0,,15.43,2025-04-03 17:56:53,Google Ads,Android
11183,2025-03-20 03:11:53,0,21.0,16.0,0.0,,Facebook,iOS
18520,2025-03-12 04:38:53,0,33.0,9.0,,,Google Ads,Android
14919,2025-03-20 21:17:53,0,31.0,20.0,0.0,,Apple Search Ads,iOS
18708,2025-04-01 14:30:53,1,43.0,91.0,,2025-04-01 15:54:53,Tik Tok,iOS
19085,2025-04-05 01:37:53,0,38.0,89.0,0.0,,Unity Ads,Android
17150,2025-03-28 13:20:53,1,25.0,9.0,29.15,2025-03-28 13:22:53,Facebook,iOS
12067,2025-03-26 02:20:53,0,40.0,64.0,0.0,,Google Ads,iOS
13194,2025-03-24 23:19:53,0,29.0,62.0,0.0,,Organic,Android
19148,2025-03-22 09:52:53,0,36.0,8.0,0.0,,Organic,iOS
17438,2025-03-17 17:45:53,0,32.0,27.0,0.0,,Facebook,Android
19644,2025-03-15 12:41:53,1,27.0,61.0,11.67,2025-03-15 12:43:53,Facebook,iOS
10376,2025-04-06 07:34:53,0,16.0,21.0,0.0,,Apple Search Ads,Android
17907,2025-03-26 01:10:53,1,32.0,,11.24,2025-03-26 01:16:53,Google Ads,Android
10088,2025-03-28 02:29:53,0,23.0,31.0,0.0,,Google Ads,iOS
11315,2025-03-30 12:38:53,0,17.0,,0.0,,Facebook,Android
10169,2025-03-28 08:04:53,0,38.0,5.0,0.0,,Organic,Android
14504,2025-03-23 15:43:53,0,23.0,53.0,0.0,,Facebook,iOS
15309,2025-03-15 18:21:53,0,11.0,1.0,0.0,,Facebook,Android
13279,2025-03-26 17:32:53,0,30.0,48.0,0.0,,Facebook,Android
13314,2025-03-21 12:41:53,0,28.0,10.0,0.0,,Organic,Android
15049,2025-03-26 00:46:53,1,29.0,19.0,36.05,2025-03-26 01:04:53,Google Ads,iOS
15635,2025-03-09 22:53:53,1,29.0,23.0,23.27,2025-03-09 23:01:53,Google Ads,iOS
17415,2025-03-24 16:14:53,0,19.0,43.0,0.0,,Facebook,Android
14414,2025-04-06 18:26:53,0,,64.0,,,Tik Tok,iOS
15403,2025-04-01 15:17:53,0,40.0,48.0,0.0,,Organic,Android
12894,2025-03-12 22:20:53,0,38.0,25.0,0.0,,Facebook,Android
10621,2025-03-11 14:53:53,1,26.0,12.0,1.64,2025-03-11 15:04:53,Facebook,iOS
14775,2025-03-29 00:26:53,0,35.0,22.0,0.0,,Apple Search Ads,iOS
13992,2025-03-23 07:07:53,0,30.0,1.0,0.0,,Facebook,iOS
18757,2025-04-02 17:20:53,0,26.0,,0.0,,Google Ads,iOS
15822,2025-04-03 01:26:53,0,42.0,13.0,0.0,,Facebook,Android
18137,2025-03-28 06:35:53,0,21.0,11.0,0.0,,Facebook,Android
14890,2025-04-05 04:33:53,0,33.0,,,,Tik Tok,Android
18819,2025-03-13 09:57:53,0,13.0,1.0,0.0,,Google Ads,Android
11597,2025-03-30 05:06:53,1,,16.0,9.02,2025-03-30 05:13:53,Google Ads,iOS
10119,2025-03-29 22:58:53,0,23.0,2.0,0.0,,Facebook,Android
11147,2025-03-16 05:46:53,0,26.0,10.0,0.0,,Google Ads,Android
11512,2025-03-25 11:29:53,0,27.0,19.0,0.0,,Apple Search Ads,iOS
10303,2025-03-16 10:34:53,0,7.0,7.0,0.0,,Facebook,iOS
12876,2025-04-04 01:37:53,0,13.0,2.0,0.0,,Facebook,iOS
11253,2025-04-02 13:47:53,0,38.0,16.0,0.0,,Facebook,Android
15735,2025-03-29 19:40:53,0,31.0,17.0,0.0,,Facebook,iOS
13160,2025-03-17 02:05:53,0,44.0,74.0,0.0,,Apple Search Ads,PC
19202,2025-03-23 09:53:53,0,16.0,4.0,0.0,,Google Ads,Android
14102,2025-03-17 07:47:53,0,38.0,28.0,0.0,,Google Ads,Android
15822,2025-03-31 12:36:53,0,34.0,11.0,0.0,,Facebook,iOS
10850,2025-03-25 05:01:53,0,41.0,3.0,0.0,,Tik Tok,Android
14414,2025-03-31 13:24:53,0,,14.0,0.0,,Facebook,iOS
14872,2025-03-27 11:59:53,0,31.0,16.0,0.0,,Apple Search Ads,Android
